OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -l
  -p
  -k 100
  -s 0
  Adult.csv
  Adult

File/input/Adult.csv: 132 items, 32561 transactions
Found 100 non-redundant productive itemsets in 92 seconds
Alpha for size 2 = 2.89151e-06
Alpha for size 3 = 3.33636e-08
Alpha for size 4 = 5.17265e-10
Alpha for size 5 = 1.01028e-11
Alpha for size 6 = 2.38650e-13
Alpha for size 7 = 6.62915e-15

SELF-SUFFICIENT ITEMSETS:
Rule, No. of transactions, Leverage, Lift, P-value, Antecedent Support, Strength
0 & field5 = Never-married & field6 = Adm-clerical & field7 = Not-in-family & field3 = HS-grad & field9 = Female,142, 0.001050, 1.317193,9.27487e-18,0.004361,1.000000
0 & field5 = Never-married & field2 = Private & field1 = Age24-31 & field3 = Some-college & field7 = Own-child,199, 0.001472, 1.317193,1.27659e-24,0.006112,1.000000
0 & field5 = Never-married & field6 = Adm-clerical & field7 = Not-in-family & field4 = EduNum9 & field9 = Female,142, 0.001050, 1.317193,9.27487e-18,0.004361,1.000000
0 & field5 = Never-married & field7 = Not-in-family & field2 = Private & field3 = Some-college & field10 = Hour21-35,153, 0.001132, 1.317193,4.40848e-19,0.004699,1.000000
0 & field2 = Private & field1 = Age24-31 & field9 = Female & field4 = EduNum10 & field7 = Own-child,109, 0.000806, 1.317193,8.57559e-14,0.003348,1.000000
0 & field2 = Private & field1 = Age24-31 & field9 = Female & field3 = Some-college & field7 = Own-child,109, 0.000806, 1.317193,8.57559e-14,0.003348,1.000000
0 & field5 = Never-married & field7 = Not-in-family & field2 = Private & field4 = EduNum10 & field10 = Hour21-35,153, 0.001132, 1.317193,4.40848e-19,0.004699,1.000000
0 & field5 = Never-married & field2 = Private & field1 = Age24-31 & field4 = EduNum10 & field7 = Own-child,199, 0.001472, 1.317193,1.27659e-24,0.006112,1.000000
0 & field5 = Never-married & field8 = Black & field9 = Female & field7 = Own-child,225, 0.001664, 1.317193,9.36980e-28,0.006910,1.000000
0 & field8 = Black & field9 = Female & field1 = Age17-23 & field7 = Own-child,110, 0.000814, 1.317193,6.50357e-14,0.003378,1.000000
0 & field5 = Never-married & field4 = EduNum9 & field1 = Age24-31 & field10 = Hour21-35,147, 0.001087, 1.317193,2.32274e-18,0.004515,1.000000
0 & field7 = Not-in-family & field9 = Female & field6 = Other-service & field1 = Age17-23,105, 0.000777, 1.317193,2.59221e-13,0.003225,1.000000
0 & field5 = Never-married & field1 = Age24-31 & field6 = Other-service & field10 = Hour21-35,125, 0.000924, 1.317193,1.02555e-15,0.003839,1.000000
0 & field4 = EduNum9 & field9 = Female & field7 = Own-child & field10 = Hour21-35,133, 0.000984, 1.317193,1.12045e-16,0.004085,1.000000
0 & field7 = Not-in-family & field3 = HS-grad & field6 = Other-service & field10 = Hour21-35,101, 0.000747, 1.317193,7.83444e-13,0.003102,1.000000
0 & field3 = HS-grad & field1 = Age24-31 & field9 = Female & field7 = Own-child,150, 0.001109, 1.317193,1.01196e-18,0.004607,1.000000
0 & field3 = HS-grad & field9 = Female & field1 = Age17-23 & field7 = Own-child,291, 0.002152, 1.317193,1.00533e-35,0.008937,1.000000
0 & field5 = Never-married & field3 = HS-grad & field1 = Age17-23 & field7 = Own-child,710, 0.005251, 1.317193,9.24507e-87,0.021805,1.000000
0 & field4 = EduNum9 & field1 = Age24-31 & field9 = Female & field7 = Own-child,150, 0.001109, 1.317193,1.01196e-18,0.004607,1.000000
0 & field5 = Never-married & field3 = HS-grad & field6 = Other-service & field10 = Hour21-35,179, 0.001324, 1.317193,3.27413e-22,0.005497,1.000000
0 & field5 = Never-married & field9 = Female & field6 = Other-service & field1 = Age17-23,456, 0.003372, 1.317193,9.91386e-56,0.014004,1.000000
0 & field7 = Not-in-family & field4 = EduNum9 & field6 = Other-service & field10 = Hour21-35,101, 0.000747, 1.317193,7.83444e-13,0.003102,1.000000
0 & field5 = Never-married & field4 = EduNum9 & field6 = Other-service & field10 = Hour21-35,179, 0.001324, 1.317193,3.27413e-22,0.005497,1.000000
0 & field6 = Adm-clerical & field2 = Private & field1 = Age17-23 & field7 = Own-child,363, 0.002685, 1.317193,1.93613e-44,0.011148,1.000000
0 & field5 = Never-married & field2 = Private & field4 = EduNum9 & field1 = Age17-23,1008, 0.007455, 1.317193,1.56173e-123,0.030957,1.000000
0 & field5 = Never-married & field9 = Female & field6 = Other-service & field7 = Own-child,404, 0.002988, 1.317193,2.06044e-49,0.012407,1.000000
0 & field4 = EduNum9 & field9 = Female & field1 = Age17-23 & field7 = Own-child,291, 0.002152, 1.317193,1.00533e-35,0.008937,1.000000
0 & field5 = Never-married & field2 = Private & field3 = HS-grad & field1 = Age17-23,1008, 0.007455, 1.317193,1.56173e-123,0.030957,1.000000
0 & field2 = Private & field6 = Other-service & field10 = Hour21-35 & field7 = Unmarried,133, 0.000984, 1.317193,1.12045e-16,0.004085,1.000000
0 & field5 = Never-married & field4 = EduNum9 & field1 = Age17-23 & field7 = Own-child,710, 0.005251, 1.317193,9.24507e-87,0.021805,1.000000
0 & field9 = Female & field6 = Other-service & field1 = Age17-23 & field7 = Own-child,318, 0.002352, 1.317193,5.45349e-39,0.009766,1.000000
0 & field9 = Female & field6 = Other-service & field7 = Own-child & field10 = Hour21-35,141, 0.001043, 1.317193,1.22337e-17,0.004330,1.000000
0 & field5 = Never-married & field6 = Adm-clerical & field3 = Some-college & field1 = Age17-23,311, 0.002300, 1.317193,3.83375e-38,0.009551,1.000000
0 & field6 = Adm-clerical & field3 = Some-college & field1 = Age17-23 & field7 = Own-child,222, 0.001642, 1.317193,2.15542e-27,0.006818,1.000000
0 & field6 = Adm-clerical & field7 = Not-in-family & field3 = HS-grad & field1 = Age24-31,97, 0.000717, 1.317193,2.36743e-12,0.002979,1.000000
0 & field3 = HS-grad & field9 = Female & field7 = Own-child & field10 = Hour21-35,133, 0.000984, 1.317193,1.12045e-16,0.004085,1.000000
0 & field1 = Age24-31 & field9 = Female & field3 = Some-college & field7 = Unmarried,117, 0.000865, 1.317193,9.38095e-15,0.003593,1.000000
0 & field5 = Never-married & field6 = Adm-clerical & field9 = Female & field1 = Age17-23,452, 0.003343, 1.317193,3.03837e-55,0.013882,1.000000
0 & field7 = Not-in-family & field9 = Female & field3 = Some-college & field10 = Hour21-35,166, 0.001228, 1.317193,1.20241e-20,0.005098,1.000000
0 & field6 = Adm-clerical & field9 = Female & field1 = Age17-23 & field7 = Own-child,293, 0.002167, 1.317193,5.76128e-36,0.008998,1.000000
0 & field5 = Never-married & field1 = Age24-31 & field7 = Own-child & field10 = Hour21-35,166, 0.001228, 1.317193,1.20241e-20,0.005098,1.000000
0 & field9 = Female & field6 = Other-service & field3 = Some-college & field10 = Hour21-35,142, 0.001050, 1.317193,9.27487e-18,0.004361,1.000000
0 & field6 = Adm-clerical & field9 = Female & field4 = EduNum10 & field1 = Age17-23,214, 0.001583, 1.317193,1.98675e-26,0.006572,1.000000
0 & field5 = Never-married & field6 = Adm-clerical & field2 = Private & field1 = Age17-23,555, 0.004105, 1.317193,8.62123e-68,0.017045,1.000000
0 & field5 = Never-married & field3 = HS-grad & field1 = Age24-31 & field10 = Hour21-35,147, 0.001087, 1.317193,2.32274e-18,0.004515,1.000000
0 & field9 = Female & field4 = EduNum10 & field1 = Age17-23 & field7 = Own-child,641, 0.004741, 1.317193,2.65221e-78,0.019686,1.000000
0 & field6 = Adm-clerical & field7 = Not-in-family & field4 = EduNum9 & field1 = Age24-31,97, 0.000717, 1.317193,2.36743e-12,0.002979,1.000000
0 & field9 = Female & field3 = Some-college & field1 = Age17-23 & field7 = Own-child,641, 0.004741, 1.317193,2.65221e-78,0.019686,1.000000
0 & field6 = Adm-clerical & field7 = Not-in-family & field1 = Age24-31 & field9 = Female,220, 0.001627, 1.317193,3.75587e-27,0.006757,1.000000
0 & field5 = Never-married & field6 = Adm-clerical & field4 = EduNum10 & field1 = Age17-23,311, 0.002300, 1.317193,3.83375e-38,0.009551,1.000000
0 & field5 = Never-married & field6 = Adm-clerical & field1 = Age24-31 & field3 = Some-college,158, 0.001169, 1.317193,1.10343e-19,0.004852,1.000000
0 & field1 = Age24-31 & field9 = Female & field4 = EduNum10 & field7 = Unmarried,117, 0.000865, 1.317193,9.38095e-15,0.003593,1.000000
0 & field6 = Adm-clerical & field9 = Female & field3 = Some-college & field1 = Age17-23,214, 0.001583, 1.317193,1.98675e-26,0.006572,1.000000
0 & field7 = Not-in-family & field9 = Female & field4 = EduNum10 & field10 = Hour21-35,166, 0.001228, 1.317193,1.20241e-20,0.005098,1.000000
0 & field6 = Adm-clerical & field4 = EduNum10 & field1 = Age17-23 & field7 = Own-child,222, 0.001642, 1.317193,2.15542e-27,0.006818,1.000000
0 & field9 = Female & field6 = Other-service & field4 = EduNum10 & field10 = Hour21-35,142, 0.001050, 1.317193,9.27487e-18,0.004361,1.000000
0 & field5 = Never-married & field6 = Adm-clerical & field1 = Age24-31 & field4 = EduNum10,158, 0.001169, 1.317193,1.10343e-19,0.004852,1.000000
0 & field6 = Adm-clerical & field5 = Divorced & field1 = Age24-31,108, 0.000799, 1.317193,1.13076e-13,0.003317,1.000000
0 & field3 = HS-grad & field1 = Age17-23 & field10 = Hour21-35,326, 0.002411, 1.317193,5.86777e-40,0.010012,1.000000
0 & field5 = Never-married & field10 = Hour1-20 & field3 = HS-grad,238, 0.001760, 1.317193,2.53210e-29,0.007309,1.000000
0 & field10 = Hour1-20 & field2 = Private & field7 = Unmarried,148, 0.001095, 1.317193,1.76086e-18,0.004545,1.000000
0 & field1 = Age24-31 & field6 = Other-service & field7 = Own-child,144, 0.001065, 1.317193,5.33086e-18,0.004422,1.000000
0 & field7 = Not-in-family & field1 = Age17-23 & field10 = Hour21-35,269, 0.001989, 1.317193,4.58004e-33,0.008261,1.000000
0 & field5 = Never-married & field10 = Hour1-20 & field7 = Own-child,1192, 0.008816, 1.317193,1.93774e-146,0.036608,1.000000
0 & field7 = Not-in-family & field3 = HS-grad & field1 = Age17-23,323, 0.002389, 1.317193,1.35388e-39,0.009920,1.000000
0 & field10 = Hour1-20 & field9 = Female & field7 = Unmarried,200, 0.001479, 1.317193,9.67287e-25,0.006142,1.000000
0 & field7 = Not-in-family & field4 = EduNum9 & field1 = Age17-23,323, 0.002389, 1.317193,1.35388e-39,0.009920,1.000000
0 & field10 = Hour1-20 & field3 = HS-grad & field7 = Unmarried,86, 0.000636, 1.317193,4.95072e-11,0.002641,1.000000
0 & field10 = Hour1-20 & field3 = HS-grad & field7 = Own-child,181, 0.001339, 1.317193,1.88048e-22,0.005559,1.000000
0 & field4 = EduNum9 & field6 = Other-service & field7 = Own-child,260, 0.001923, 1.317193,5.59578e-32,0.007985,1.000000
0 & field4 = EduNum9 & field6 = Other-service & field1 = Age17-23,243, 0.001797, 1.317193,6.31122e-30,0.007463,1.000000
0 & field6 = Adm-clerical & field1 = Age17-23 & field10 = Hour21-35,160, 0.001183, 1.317193,6.34013e-20,0.004914,1.000000
0 & field4 = EduNum9 & field1 = Age17-23 & field10 = Hour21-35,326, 0.002411, 1.317193,5.86777e-40,0.010012,1.000000
0 & field5 = Never-married & field6 = Other-service & field7 = Unmarried,161, 0.001191, 1.317193,4.80583e-20,0.004945,1.000000
0 & field5 = Never-married & field10 = Hour1-20 & field1 = Age24-31,221, 0.001634, 1.317193,2.84527e-27,0.006787,1.000000
0 & field10 = Hour1-20 & field4 = EduNum9 & field7 = Unmarried,86, 0.000636, 1.317193,4.95072e-11,0.002641,1.000000
0 & field10 = Hour1-20 & field4 = EduNum9 & field7 = Own-child,181, 0.001339, 1.317193,1.88048e-22,0.005559,1.000000
0 & field5 = Never-married & field10 = Hour1-20 & field4 = EduNum9,238, 0.001760, 1.317193,2.53210e-29,0.007309,1.000000
0 & field9 = Female & field1 = Age17-23 & field10 = Hour21-35,640, 0.004733, 1.317193,3.51583e-78,0.019655,1.000000
0 & field5 = Divorced & field1 = Age24-31 & field7 = Own-child,83, 0.000614, 1.317193,1.13419e-10,0.002549,1.000000
0 & field3 = HS-grad & field6 = Other-service & field1 = Age17-23,243, 0.001797, 1.317193,6.31122e-30,0.007463,1.000000
0 & field6 = Adm-clerical & field4 = EduNum9 & field1 = Age17-23,207, 0.001531, 1.317193,1.38661e-25,0.006357,1.000000
0 & field10 = Hour1-20 & field6 = Other-service & field7 = Own-child,339, 0.002507, 1.317193,1.56514e-41,0.010411,1.000000
0 & field6 = Adm-clerical & field7 = Not-in-family & field1 = Age17-23,166, 0.001228, 1.317193,1.20241e-20,0.005098,1.000000
0 & field3 = HS-grad & field6 = Other-service & field7 = Own-child,260, 0.001923, 1.317193,5.59578e-32,0.007985,1.000000
0 & field2 = Private & field1 = Age17-23 & field7 = Unmarried,166, 0.001228, 1.317193,1.20241e-20,0.005098,1.000000
0 & field7 = Not-in-family & field10 = Hour1-20 & field1 = Age24-31,90, 0.000666, 1.317193,1.63903e-11,0.002764,1.000000
0 & field5 = Divorced & field6 = Other-service & field10 = Hour21-35,122, 0.000902, 1.317193,2.35219e-15,0.003747,1.000000
0 & field5 = Never-married & field6 = Adm-clerical & field10 = Hour1-20,244, 0.001805, 1.317193,4.77999e-30,0.007494,1.000000
0 & field6 = Other-service & field3 = Some-college & field7 = Unmarried,88, 0.000651, 1.317193,2.84863e-11,0.002703,1.000000
0 & field6 = Adm-clerical & field3 = HS-grad & field1 = Age17-23,207, 0.001531, 1.317193,1.38661e-25,0.006357,1.000000
0 & field10 = Hour1-20 & field3 = Some-college & field7 = Own-child,513, 0.003794, 1.317193,1.14149e-62,0.015755,1.000000
